index,param,value
1,traffic_density,0
2,traffic_density,0
3,traffic_density,0
4,traffic_density,0.06
5,traffic_density,0
6,num_scenarios,500
7,num_scenarios,500
8,traffic_density,0.08
9,num_scenarios,900
10,traffic_density,0
11,traffic_density,0
12,traffic_density,0
13,traffic_density,0.06
14,num_scenarios,500
15,traffic_density,0
16,traffic_density,0.06
17,num_scenarios,500
18,map,9
19,traffic_density,0.06
20,traffic_density,0
21,,
22,traffic_density,0
23,traffic_density,0
24,num_scenarios,900
25,traffic_density,0
26,traffic_density,0.06
27,num_scenarios,900
28,traffic_density,0
29,traffic_density,0.06
30,traffic_density,0.08
31,traffic_density,0.06
32,daytime,19:30
33,num_scenarios,500
34,traffic_density,0.08
35,traffic_density,0.06
36,num_scenarios,700
37,traffic_density,0.06
38,traffic_density,0
39,traffic_density,0.06
40,traffic_density,0.06
41,traffic_density,0.08
42,traffic_density,0.08
43,,
44,num_scenarios,700
45,traffic_density,0
46,traffic_density,0.08
47,accident_prob,0.08
48,traffic_density,0
49,traffic_density,0.06
50,,
51,num_scenarios,700
52,traffic_density,0.08
53,traffic_density,0.06
54,traffic_density,0
55,traffic_density,0.06
56,traffic_density,0
57,traffic_density,0.08
58,traffic_density,0.08
59,traffic_density,0.06
60,traffic_density,0
61,traffic_density,0.08
62,,
63,traffic_density,0.08
64,traffic_density,0.06
65,traffic_density,0
66,traffic_density,0.06
67,traffic_density,0.08
68,traffic_density,0.08
69,traffic_density,0.08
70,traffic_density,0.08
71,traffic_density,0
72,traffic_density,0.08
73,traffic_density,0.08
74,traffic_density,0.06
75,traffic_density,0.08
76,traffic_density,0.08
77,traffic_density,0.06
78,traffic_density,0
79,num_scenarios,700
80,traffic_density,0
81,traffic_density,0.06
82,traffic_density,0
83,traffic_density,0
84,num_scenarios,500
85,traffic_density,0
86,traffic_density,0
87,traffic_density,0
88,traffic_density,0.06
89,traffic_density,0.08
90,traffic_density,0.08
91,num_scenarios,500
92,traffic_density,0
93,accident_prob,0
94,traffic_density,0
95,traffic_density,0.06
96,traffic_density,0.06
97,traffic_density,0
98,traffic_density,0
99,traffic_density,0
100,traffic_density,0
101,traffic_density,0.08
102,daytime,02:17
103,traffic_density,0.08
104,num_scenarios,500
105,traffic_density,0.06
106,traffic_density,0.06
107,traffic_density,0.06
108,daytime,05:06
