index,param,value
59,map,10
59,traffic_density,10
59,side_detector_distance,0
60,map,10
60,traffic_density,10
60,side_detector_distance,0
62,map,10
62,traffic_density,10
62,side_detector_distance,0
65,map,10
65,traffic_density,10
65,side_detector_distance,0
66,map,10
66,traffic_density,10
66,side_detector_distance,0
73,map,10
73,traffic_density,10
73,side_detector_distance,8
74,map,10
74,traffic_density,10
74,side_detector_distance,0
80,map,10
80,traffic_density,10
80,side_detector_distance,0
81,map,10
81,traffic_density,10
81,side_detector_distance,0
82,map,10
82,traffic_density,10
82,side_detector_distance,0
83,map,10
83,traffic_density,8
83,side_detector_distance,0
92,map,10
92,traffic_density,10
92,side_detector_distance,0
95,map,10
95,traffic_density,10
95,side_detector_distance,0
99,map,10
99,traffic_density,10
99,side_detector_distance,9
101,map,10
101,traffic_density,10
101,side_detector_distance,8
105,map,10
105,traffic_density,10
105,side_detector_distance,0
107,map,10
107,traffic_density,7
107,side_detector_distance,0
108,map,10
108,traffic_density,8
108,side_detector_distance,0
111,map,10
111,traffic_density,9
111,side_detector_distance,0
112,map,10
112,traffic_density,10
112,side_detector_distance,0
145,map,10
145,traffic_density,10
145,side_detector_distance,8
146,map,10
146,traffic_density,6
146,side_detector_distance,0
161,map,10
161,traffic_density,10
161,side_detector_distance,8
168,map,10
168,traffic_density,10
168,side_detector_distance,0
171,map,10
171,traffic_density,10
171,side_detector_distance,0
172,map,10
172,traffic_density,10
172,side_detector_distance,0
173,map,10
173,traffic_density,10
173,side_detector_distance,0
176,map,10
176,traffic_density,10
176,side_detector_distance,0
181,map,10
181,traffic_density,10
181,side_detector_distance,0
188,map,10
188,traffic_density,10
188,side_detector_distance,0
190,map,10
190,traffic_density,10
190,side_detector_distance,0
192,map,10
192,traffic_density,10
192,side_detector_distance,0
194,map,10
194,traffic_density,10
194,side_detector_distance,0
196,map,10
196,traffic_density,8
196,side_detector_distance,0
198,map,10
198,traffic_density,8
198,side_detector_distance,0
199,map,10
199,traffic_density,10
199,side_detector_distance,0
201,map,10
201,traffic_density,10
201,side_detector_distance,0
202,map,10
202,traffic_density,9
202,side_detector_distance,0
205,map,10
205,traffic_density,10
205,side_detector_distance,0
207,map,10
207,traffic_density,10
207,side_detector_distance,0
209,map,10
209,traffic_density,10
209,side_detector_distance,0
213,map,10
213,traffic_density,10
213,side_detector_distance,0
214,map,10
214,traffic_density,10
214,side_detector_distance,0
216,map,10
216,traffic_density,10
216,side_detector_distance,0
223,map,10
223,traffic_density,10
223,side_detector_distance,0
225,map,10
225,traffic_density,10
225,side_detector_distance,0
226,map,10
226,traffic_density,10
226,side_detector_distance,0
227,map,10
227,traffic_density,10
227,side_detector_distance,0
228,map,10
228,traffic_density,10
228,side_detector_distance,0
229,map,10
229,traffic_density,8
229,side_detector_distance,0
231,map,10
231,traffic_density,10
231,side_detector_distance,0
234,map,10
234,traffic_density,10
234,side_detector_distance,0
235,map,10
235,traffic_density,10
235,side_detector_distance,0
236,map,10
236,traffic_density,10
236,side_detector_distance,0
237,map,10
237,traffic_density,6
237,side_detector_distance,0
238,map,10
238,traffic_density,10
238,side_detector_distance,0
240,map,10
240,traffic_density,10
240,side_detector_distance,0
243,map,10
243,traffic_density,10
243,side_detector_distance,0
246,map,10
246,traffic_density,10
246,side_detector_distance,0
247,map,10
247,traffic_density,10
247,side_detector_distance,0
249,map,10
249,traffic_density,7
249,side_detector_distance,0
251,map,10
251,traffic_density,10
251,side_detector_distance,0
254,map,10
254,traffic_density,10
254,side_detector_distance,0
255,map,10
255,traffic_density,10
255,side_detector_distance,0
256,map,10
256,traffic_density,10
256,side_detector_distance,0
258,map,10
258,traffic_density,10
258,side_detector_distance,0
259,map,10
259,traffic_density,10
259,side_detector_distance,0
260,map,10
260,traffic_density,10
260,side_detector_distance,0
262,map,10
262,traffic_density,10
262,side_detector_distance,0
264,map,10
264,traffic_density,6
264,side_detector_distance,0
266,map,10
266,traffic_density,10
266,side_detector_distance,0
268,map,10
268,traffic_density,10
268,side_detector_distance,0
269,map,10
269,traffic_density,10
269,side_detector_distance,0
275,map,10
275,traffic_density,10
275,side_detector_distance,0
276,map,10
276,traffic_density,10
276,side_detector_distance,0
277,map,10
277,traffic_density,10
277,side_detector_distance,0
280,map,10
280,traffic_density,10
280,side_detector_distance,0
281,map,10
281,traffic_density,10
281,side_detector_distance,0
282,map,10
282,traffic_density,10
282,side_detector_distance,0
284,map,10
284,traffic_density,10
284,side_detector_distance,0
285,map,10
285,traffic_density,7
285,side_detector_distance,0
286,map,10
286,traffic_density,10
286,side_detector_distance,0
291,map,10
291,traffic_density,10
291,side_detector_distance,0
292,map,10
292,traffic_density,10
292,side_detector_distance,0
296,map,10
296,traffic_density,10
296,side_detector_distance,0
297,map,10
297,traffic_density,10
297,side_detector_distance,0
299,map,10
299,traffic_density,10
299,side_detector_distance,0
300,map,10
300,traffic_density,10
300,side_detector_distance,0
303,map,10
303,traffic_density,10
303,side_detector_distance,0
306,map,10
306,traffic_density,10
306,side_detector_distance,0
308,map,10
308,traffic_density,10
308,side_detector_distance,0
310,map,10
310,traffic_density,10
310,side_detector_distance,0
313,map,10
313,traffic_density,10
313,side_detector_distance,0
315,map,10
315,traffic_density,9
315,side_detector_distance,0
317,map,10
317,traffic_density,10
317,side_detector_distance,0
318,map,10
318,traffic_density,10
318,side_detector_distance,0
319,map,10
319,traffic_density,10
319,side_detector_distance,0
320,map,10
320,traffic_density,10
320,side_detector_distance,0
322,map,10
322,traffic_density,10
322,side_detector_distance,0
327,map,10
327,traffic_density,10
327,side_detector_distance,0
328,map,10
328,traffic_density,10
328,side_detector_distance,0
331,map,10
331,traffic_density,10
331,side_detector_distance,0
333,map,10
333,traffic_density,10
333,side_detector_distance,0
334,map,10
334,traffic_density,10
334,side_detector_distance,0
337,map,10
337,traffic_density,10
337,side_detector_distance,0
338,map,10
338,traffic_density,10
338,side_detector_distance,0
341,map,10
341,traffic_density,3
341,side_detector_distance,0
343,map,10
343,traffic_density,10
343,side_detector_distance,0
344,map,10
344,traffic_density,10
344,side_detector_distance,0
348,map,10
348,traffic_density,10
348,side_detector_distance,0
353,map,10
353,traffic_density,8
353,side_detector_distance,0
355,map,10
355,traffic_density,10
355,side_detector_distance,0
356,map,10
